data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,location_2
1436397,566,NIG9975,9975,31 December 2016,2016,1,Violence against civilians,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,27,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,The Sun (Nigeria),National,"A suspected Boko Haram suicide bombers detonate a pack at a market late into the evening, killing herself and injuring one other.",1,1524053890,NGA,POINT(13.1603 11.8464)
1436397,566,NIG9975,9975,31 December 2016,2016,1,Violence against civilians,Civilians (Nigeria),,7,27,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,The Sun (Nigeria),National,"A suspected Boko Haram suicide bombers detonate a pack at a market late into the evening, killing herself and injuring one other.",1,1524053890,NGA,POINT(13.1603 11.8464)
1436420,566,NIG9976,9976,31 December 2016,2016,2,Strategic development,Military Forces of Nigeria (2015-),,1,12,Western Africa,Nigeria,Borno,Gwoza,,Sambisa Forest Reserve,11.25,13.4167,2,This Day (Lagos),Subnational,"Arrests: Security forces capture 1,400 suspects between 28 December, 2016 and 4 January, 2017 ""at the fringes of Sambisa forest.""",0,1524053890,NGA,POINT(13.4167 11.25)
1436420,566,NIG9976,9976,31 December 2016,2016,2,Strategic development,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,12,Western Africa,Nigeria,Borno,Gwoza,,Sambisa Forest Reserve,11.25,13.4167,2,This Day (Lagos),Subnational,"Arrests: Security forces capture 1,400 suspects between 28 December, 2016 and 4 January, 2017 ""at the fringes of Sambisa forest.""",0,1524053890,NGA,POINT(13.4167 11.25)
1436437,566,NIG9974,9974,30 December 2016,2016,1,Violence against civilians,Private Security Forces (Nigeria),,8,78,Western Africa,Nigeria,Akwa Ibom,Itu,,Oku,5.0475,7.9086,1,This Day (Lagos),Subnational,"Sources said the armed mercenaries numbering more than 50 allegedly released by Ikot-Offiong village have in the ""past three days"" terrorised the riverine villages of Oku Iboku with 10 people feared killed, many kidnapped and more than 100 houses burnt. Other villages in the area of Oku affected by the attacks were Obot Oku, Ikot Etim Ama, Ufak Oku Iboku, Esen Ikot Esia, Esik Essien, Nta Ikan, Oku Iboku and Bokondo among other 11 coastal villages in the area.",4,1524053890,NGA,POINT(7.9086 5.0475)
1436437,566,NIG9974,9974,30 December 2016,2016,1,Violence against civilians,Civilians (Nigeria),,7,78,Western Africa,Nigeria,Akwa Ibom,Itu,,Oku,5.0475,7.9086,1,This Day (Lagos),Subnational,"Sources said the armed mercenaries numbering more than 50 allegedly released by Ikot-Offiong village have in the ""past three days"" terrorised the riverine villages of Oku Iboku with 10 people feared killed, many kidnapped and more than 100 houses burnt. Other villages in the area of Oku affected by the attacks were Obot Oku, Ikot Etim Ama, Ufak Oku Iboku, Esen Ikot Esia, Esik Essien, Nta Ikan, Oku Iboku and Bokondo among other 11 coastal villages in the area.",4,1524053890,NGA,POINT(7.9086 5.0475)
1436436,566,NIG9972,9972,30 December 2016,2016,1,Battle-No change of territory,Military Forces of Nigeria (2015-),,1,12,Western Africa,Nigeria,Borno,Kala/Balge,,Rann,12.2829,14.4724,1,Sahara Reporters,Regional,"Boko Haram attacks military forces at Rann, leading to a three hour battle. Fifteen Boko Haram dead.",15,1524053890,NGA,POINT(14.4724 12.2829)
1436436,566,NIG9972,9972,30 December 2016,2016,1,Battle-No change of territory,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,12,Western Africa,Nigeria,Borno,Kala/Balge,,Rann,12.2829,14.4724,1,Sahara Reporters,Regional,"Boko Haram attacks military forces at Rann, leading to a three hour battle. Fifteen Boko Haram dead.",15,1524053890,NGA,POINT(14.4724 12.2829)
1436438,566,NIG9973,9973,30 December 2016,2016,1,Battle-No change of territory,Military Forces of Nigeria (2015-),,1,12,Western Africa,Nigeria,Yobe,Damaturu,,Damaturu,11.747,11.9608,2,This Day (Lagos),Subnational,"On December 30, 2016 at about 1330hrs, the troops arrested a confirmed Boko Haram member at Goni Kalla. While the suspect was being moved from Goni Kalla to Damaturu, the Boko Haram member attempted to escape by jumping out of the vehicle. He was therefore shot and killed.",1,1524053890,NGA,POINT(11.9608 11.747)
1436438,566,NIG9973,9973,30 December 2016,2016,1,Battle-No change of territory,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,12,Western Africa,Nigeria,Yobe,Damaturu,,Damaturu,11.747,11.9608,2,This Day (Lagos),Subnational,"On December 30, 2016 at about 1330hrs, the troops arrested a confirmed Boko Haram member at Goni Kalla. While the suspect was being moved from Goni Kalla to Damaturu, the Boko Haram member attempted to escape by jumping out of the vehicle. He was therefore shot and killed.",1,1524053890,NGA,POINT(11.9608 11.747)
1436479,566,NIG9971,9971,29 December 2016,2016,1,Violence against civilians,Private Security Forces (Nigeria),,8,78,Western Africa,Nigeria,Akwa Ibom,Itu,,Oku,5.0475,7.9086,1,This Day (Lagos),Subnational,"Sources said the armed mercenaries numbering more than 50 allegedly released by Ikot-Offiong village have in the ""past three days"" terrorised the riverine villages of Oku Iboku with 10 people feared killed, many kidnapped and more than 100 houses burnt. Other villages in the area of Oku affected by the attacks were Obot Oku, Ikot Etim Ama, Ufak Oku Iboku, Esen Ikot Esia, Esik Essien, Nta Ikan, Oku Iboku and Bokondo among other 11 coastal villages in the area.",3,1524053890,NGA,POINT(7.9086 5.0475)
1436479,566,NIG9971,9971,29 December 2016,2016,1,Violence against civilians,Civilians (Nigeria),,7,78,Western Africa,Nigeria,Akwa Ibom,Itu,,Oku,5.0475,7.9086,1,This Day (Lagos),Subnational,"Sources said the armed mercenaries numbering more than 50 allegedly released by Ikot-Offiong village have in the ""past three days"" terrorised the riverine villages of Oku Iboku with 10 people feared killed, many kidnapped and more than 100 houses burnt. Other villages in the area of Oku affected by the attacks were Obot Oku, Ikot Etim Ama, Ufak Oku Iboku, Esen Ikot Esia, Esik Essien, Nta Ikan, Oku Iboku and Bokondo among other 11 coastal villages in the area.",3,1524053890,NGA,POINT(7.9086 5.0475)
1436515,566,NIG9967,9967,28 December 2016,2016,1,Violence against civilians,Private Security Forces (Nigeria),,8,78,Western Africa,Nigeria,Akwa Ibom,Itu,,Oku,5.0475,7.9086,1,This Day (Lagos),Subnational,"Sources said the armed mercenaries numbering more than 50 allegedly released by Ikot-Offiong village have in the ""past three days"" terrorised the riverine villages of Oku Iboku with 10 people feared killed, many kidnapped and more than 100 houses burnt. Other villages in the area of Oku affected by the attacks were Obot Oku, Ikot Etim Ama, Ufak Oku Iboku, Esen Ikot Esia, Esik Essien, Nta Ikan, Oku Iboku and Bokondo among other 11 coastal villages in the area.",3,1524053890,NGA,POINT(7.9086 5.0475)
1436515,566,NIG9967,9967,28 December 2016,2016,1,Violence against civilians,Civilians (Nigeria),,7,78,Western Africa,Nigeria,Akwa Ibom,Itu,,Oku,5.0475,7.9086,1,This Day (Lagos),Subnational,"Sources said the armed mercenaries numbering more than 50 allegedly released by Ikot-Offiong village have in the ""past three days"" terrorised the riverine villages of Oku Iboku with 10 people feared killed, many kidnapped and more than 100 houses burnt. Other villages in the area of Oku affected by the attacks were Obot Oku, Ikot Etim Ama, Ufak Oku Iboku, Esen Ikot Esia, Esik Essien, Nta Ikan, Oku Iboku and Bokondo among other 11 coastal villages in the area.",3,1524053890,NGA,POINT(7.9086 5.0475)
1436516,566,NIG9966,9966,28 December 2016,2016,1,Riots/Protests,Protesters (Nigeria),,6,60,Western Africa,Nigeria,Delta,Sapele,,Sapele,5.8941,5.6767,1,The Nation (Nigeria),National,Protest in Sapele over a prolonged power outage.,0,1524053890,NGA,POINT(5.6767 5.8941)
1436548,566,NIG9969,9969,28 December 2016,2016,2,Strategic development,Military Forces of Nigeria (2015-),,1,12,Western Africa,Nigeria,Borno,Gwoza,,Sambisa Forest Reserve,11.25,13.4167,2,Vanguard (Lagos),Subnational,"Arrests: The Nigeria Army said it had arrested about 1,240 suspected Boko Haram during a ""mop-up"" operation by troops inside the Sambisa forest in the days that followed the takeover of Camp Zero.",0,1524053890,NGA,POINT(13.4167 11.25)
1436548,566,NIG9969,9969,28 December 2016,2016,2,Strategic development,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,12,Western Africa,Nigeria,Borno,Gwoza,,Sambisa Forest Reserve,11.25,13.4167,2,Vanguard (Lagos),Subnational,"Arrests: The Nigeria Army said it had arrested about 1,240 suspected Boko Haram during a ""mop-up"" operation by troops inside the Sambisa forest in the days that followed the takeover of Camp Zero.",0,1524053890,NGA,POINT(13.4167 11.25)
1436517,566,NIG9964,9964,28 December 2016,2016,1,Riots/Protests,Rioters (Nigeria),,5,50,Western Africa,Nigeria,Ondo,Odigbo,,Odigbo,6.7892,4.8664,1,Nigerian Tribune,National,Protesters barricade an expressway after two are killed in an auto accident.,0,1524053890,NGA,POINT(4.8664 6.7892)
1436519,566,NIG9965,9965,28 December 2016,2016,1,Violence against civilians,Unidentified Armed Group (Nigeria),,3,37,Western Africa,Nigeria,Taraba,Ibi,,Ibi,8.1833,9.75,2,Nigerian Tribune,National,"The convoy of an APC chieftain is attacked in Mala village, Ibi LGA. One dead, three injured. One of the injured was assaulted days earlier in Dampar ward.",1,1524053890,NGA,POINT(9.75 8.1833)
1436519,566,NIG9965,9965,28 December 2016,2016,1,Violence against civilians,Civilians (Nigeria),APC: All Progressives Congress,7,37,Western Africa,Nigeria,Taraba,Ibi,,Ibi,8.1833,9.75,2,Nigerian Tribune,National,"The convoy of an APC chieftain is attacked in Mala village, Ibi LGA. One dead, three injured. One of the injured was assaulted days earlier in Dampar ward.",1,1524053890,NGA,POINT(9.75 8.1833)
1436518,566,NIG9968,9968,28 December 2016,2016,2,Battle-No change of territory,Unidentified Communal Militia (Nigeria),,4,24,Western Africa,Nigeria,Borno,Mobbar,,Karetu,12.8847,12.5081,1,Vanguard (Lagos),Subnational,"Hunters clash with Boko Haram at Karetu ""a week ago"" (source dated 06/01). Fifteen of the hunters were reported dead, five of whom were beheaded, after their remains were found between Gubio and Mobbar Local Government Areas.",15,1524053890,NGA,POINT(12.5081 12.8847)
1436518,566,NIG9968,9968,28 December 2016,2016,2,Battle-No change of territory,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,24,Western Africa,Nigeria,Borno,Mobbar,,Karetu,12.8847,12.5081,1,Vanguard (Lagos),Subnational,"Hunters clash with Boko Haram at Karetu ""a week ago"" (source dated 06/01). Fifteen of the hunters were reported dead, five of whom were beheaded, after their remains were found between Gubio and Mobbar Local Government Areas.",15,1524053890,NGA,POINT(12.5081 12.8847)
1436558,566,NIG9962,9962,27 December 2016,2016,1,Battle-No change of territory,Police Forces of Nigeria (2015-),,1,13,Western Africa,Nigeria,Federal Capital Territory,Abuja Municipality,,Idu,9.0667,7.35,1,News Chronicle (Nigeria),National,Unidentified assailants attack and kill three police officers in Idu.,3,1524053890,NGA,POINT(7.35 9.0667)
1436558,566,NIG9962,9962,27 December 2016,2016,1,Battle-No change of territory,Unidentified Armed Group (Nigeria),,3,13,Western Africa,Nigeria,Federal Capital Territory,Abuja Municipality,,Idu,9.0667,7.35,1,News Chronicle (Nigeria),National,Unidentified assailants attack and kill three police officers in Idu.,3,1524053890,NGA,POINT(7.35 9.0667)
1436595,566,NIG9961,9961,26 December 2016,2016,1,Battle-No change of territory,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,24,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,The Guardian (Lagos),Subnational,"Two Boko Haram suicide bombers are foiled after they are stopped by a local militia described only as a vigilante group. The first bomber detonated a bomb pack, killing only herself. Following the first explosion the militia physically attacked the second bomber. The bombers pack was later reported detonated. Two deaths total.",2,1524053890,NGA,POINT(13.1603 11.8464)
1436595,566,NIG9961,9961,26 December 2016,2016,1,Battle-No change of territory,Vigilante Militia (Nigeria),,4,24,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,1,The Guardian (Lagos),Subnational,"Two Boko Haram suicide bombers are foiled after they are stopped by a local militia described only as a vigilante group. The first bomber detonated a bomb pack, killing only herself. Following the first explosion the militia physically attacked the second bomber. The bombers pack was later reported detonated. Two deaths total.",2,1524053890,NGA,POINT(13.1603 11.8464)
1436662,566,NIG9959,9959,25 December 2016,2016,1,Riots/Protests,Protesters (Nigeria),,6,60,Western Africa,Nigeria,Edo,Oredo,,Benin City,6.335,5.6275,1,The Nation (Nigeria),National,Protest of bus operators in Benin City after a fellow driver is killed by a suspected street gang.,0,1524053890,NGA,POINT(5.6275 6.335)
1436663,566,NIG9958,9958,25 December 2016,2016,1,Violence against civilians,Unidentified Armed Group (Nigeria),,3,37,Western Africa,Nigeria,Taraba,Ibi,,Dampar,8.5333,10.1333,1,Nigerian Tribune,National,A prominent APC member is assaulted while fraternising with other APC supporters in Dampar ward. Perpetrator not known.,0,1524053890,NGA,POINT(10.1333 8.5333)
1436663,566,NIG9958,9958,25 December 2016,2016,1,Violence against civilians,Civilians (Nigeria),APC: All Progressives Congress,7,37,Western Africa,Nigeria,Taraba,Ibi,,Dampar,8.5333,10.1333,1,Nigerian Tribune,National,A prominent APC member is assaulted while fraternising with other APC supporters in Dampar ward. Perpetrator not known.,0,1524053890,NGA,POINT(10.1333 8.5333)
1436664,566,NIG9960,9960,25 December 2016,2016,1,Violence against civilians,Unidentified Armed Group (Nigeria),,3,37,Western Africa,Nigeria,Abia,Isiala Ngwa North,,Ura Nta Umuarandu,5.3333,7.35,1,Vanguard (Lagos),Subnational,"After attacking the previous week, unidentified gunmen regroup and again attack Uratta Umuoha, killing three.",3,1524053890,NGA,POINT(7.35 5.3333)
1436664,566,NIG9960,9960,25 December 2016,2016,1,Violence against civilians,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Abia,Isiala Ngwa North,,Ura Nta Umuarandu,5.3333,7.35,1,Vanguard (Lagos),Subnational,"After attacking the previous week, unidentified gunmen regroup and again attack Uratta Umuoha, killing three.",3,1524053890,NGA,POINT(7.35 5.3333)
1436665,566,NIG9957,9957,25 December 2016,2016,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),,4,47,Western Africa,Nigeria,Kaduna,Jemaa,,Kafanchan,9.5833,8.3,2,News Chronicle (Nigeria),National,"Fulanis attack Goska, near Kafanchan over two days, killing eleven.",6,1524053890,NGA,POINT(8.3 9.5833)
1436665,566,NIG9957,9957,25 December 2016,2016,1,Violence against civilians,Civilians (Nigeria),,7,47,Western Africa,Nigeria,Kaduna,Jemaa,,Kafanchan,9.5833,8.3,2,News Chronicle (Nigeria),National,"Fulanis attack Goska, near Kafanchan over two days, killing eleven.",6,1524053890,NGA,POINT(8.3 9.5833)
1436705,566,NIG9956,9956,24 December 2016,2016,1,Violence against civilians,Unidentified Armed Group (Nigeria),,3,37,Western Africa,Nigeria,Rivers,Ogba/Egbema/Ndoni,,Omoku,5.3435,6.6532,1,The Guardian (Lagos),Subnational,"Unidentified gunmen suspected to be members of a ""cult group"" have killed no fewer than eight people in Omoku in Ogba/Egbema/Ndoni Local Government Area. The attack, believed to be political, comes following a re-run election in the area.",8,1524053890,NGA,POINT(6.6532 5.3435)
1436705,566,NIG9956,9956,24 December 2016,2016,1,Violence against civilians,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Rivers,Ogba/Egbema/Ndoni,,Omoku,5.3435,6.6532,1,The Guardian (Lagos),Subnational,"Unidentified gunmen suspected to be members of a ""cult group"" have killed no fewer than eight people in Omoku in Ogba/Egbema/Ndoni Local Government Area. The attack, believed to be political, comes following a re-run election in the area.",8,1524053890,NGA,POINT(6.6532 5.3435)
1436706,566,NIG9954,9954,24 December 2016,2016,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),,4,47,Western Africa,Nigeria,Kaduna,Jemaa,,Kafanchan,9.5833,8.3,2,News Chronicle (Nigeria),National,"Fulanis attack Goska, near Kafanchan over two days, killing eleven.",5,1524053890,NGA,POINT(8.3 9.5833)
1436706,566,NIG9954,9954,24 December 2016,2016,1,Violence against civilians,Civilians (Nigeria),,7,47,Western Africa,Nigeria,Kaduna,Jemaa,,Kafanchan,9.5833,8.3,2,News Chronicle (Nigeria),National,"Fulanis attack Goska, near Kafanchan over two days, killing eleven.",5,1524053890,NGA,POINT(8.3 9.5833)
