data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,location_2
1639796,566,NIG12585,12585,23 June 2018,2018,1,Riots/Protests,Rioters (Nigeria),APC: All Progressives Congress,5,55,Western Africa,Nigeria,Federal Capital Territory,Abuja Municipality,,Abuja,9.0833,7.5333,1,Vanguard (Lagos),National,23 June. Two groups of APC adherents clash in Abuja after one group is denied entry to a political meeting.,0,1529947890,NGA,POINT(7.5333 9.0833)
1639796,566,NIG12585,12585,23 June 2018,2018,1,Riots/Protests,Rioters (Nigeria),APC: All Progressives Congress,5,55,Western Africa,Nigeria,Federal Capital Territory,Abuja Municipality,,Abuja,9.0833,7.5333,1,Vanguard (Lagos),National,23 June. Two groups of APC adherents clash in Abuja after one group is denied entry to a political meeting.,0,1529947890,NGA,POINT(7.5333 9.0833)
1639797,566,NIG12586,12586,23 June 2018,2018,1,Violence against civilians,Unidentified Armed Group (Nigeria),,3,37,Western Africa,Nigeria,Kaduna,Chikun,,Chikun,10.2691,7.1085,2,Vanguard (Lagos),National,"23 June. Unidentified armed assailants attack Kuriga village, killing five and wounding 12.",5,1529947890,NGA,POINT(7.1085 10.2691)
1639797,566,NIG12586,12586,23 June 2018,2018,1,Violence against civilians,Civilians (Nigeria),,7,37,Western Africa,Nigeria,Kaduna,Chikun,,Chikun,10.2691,7.1085,2,Vanguard (Lagos),National,"23 June. Unidentified armed assailants attack Kuriga village, killing five and wounding 12.",5,1529947890,NGA,POINT(7.1085 10.2691)
1639786,566,NIG12575,12575,22 June 2018,2018,1,Violence against civilians,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,27,Western Africa,Nigeria,Borno,Konduga,,Tungushe,11.9621,13.1433,1,Vanguard (Lagos),National,"22 June. A male suicide bomber attacks Tungushe village, 6km north of Maiduguri during the night-time hours. Following the blast Boko Haram attacked the village with small arms. At least five people were killed and six others injured.",6,1529947890,NGA,POINT(13.1433 11.9621)
1639786,566,NIG12575,12575,22 June 2018,2018,1,Violence against civilians,Civilians (Nigeria),,7,27,Western Africa,Nigeria,Borno,Konduga,,Tungushe,11.9621,13.1433,1,Vanguard (Lagos),National,"22 June. A male suicide bomber attacks Tungushe village, 6km north of Maiduguri during the night-time hours. Following the blast Boko Haram attacked the village with small arms. At least five people were killed and six others injured.",6,1529947890,NGA,POINT(13.1433 11.9621)
1639787,566,NIG12576,12576,22 June 2018,2018,1,Battle-Government regains territory,Military Forces of Nigeria (2015-),Civilian JTF: Civilian Joint Task Force,1,12,Western Africa,Nigeria,Borno,Mafa,,Azaya Kalmari,12.0049,13.7439,2,Vanguard (Lagos),National,"22 June. Military forces, supported by civilians JTF kill seven members of Boko Haram during a clearing operaion at Azaya Kalmari, a village in Mafa LGA, at the outskirts of Mafa town. The troops also successfully cleared Moduhum, Njimtulur, Hayaba Gana, and Hayaba Kura, Hashime, Azaya Kura and Azaya villages also at the outskirts of Mafatown without violence. Approximate coordinates used for all 8 locations.",7,1529947890,NGA,POINT(13.7439 12.0049)
1639787,566,NIG12576,12576,22 June 2018,2018,1,Battle-Government regains territory,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,12,Western Africa,Nigeria,Borno,Mafa,,Azaya Kalmari,12.0049,13.7439,2,Vanguard (Lagos),National,"22 June. Military forces, supported by civilians JTF kill seven members of Boko Haram during a clearing operaion at Azaya Kalmari, a village in Mafa LGA, at the outskirts of Mafa town. The troops also successfully cleared Moduhum, Njimtulur, Hayaba Gana, and Hayaba Kura, Hashime, Azaya Kura and Azaya villages also at the outskirts of Mafatown without violence. Approximate coordinates used for all 8 locations.",7,1529947890,NGA,POINT(13.7439 12.0049)
1639788,566,NIG12577,12577,22 June 2018,2018,1,Non-violent transfer of territory,Military Forces of Nigeria (2015-),Civilian JTF: Civilian Joint Task Force,1,12,Western Africa,Nigeria,Borno,Mafa,,Moduhum,12.1456,13.449,2,Vanguard (Lagos),National,"22 June. Military forces, supported by civilians JTF kill seven members of Boko Haram during a clearing operaion at Azaya Kalmari, a village in Mafa LGA, at the outskirts of Mafa town. The troops also successfully cleared Moduhum, Njimtulur, Hayaba Gana, and Hayaba Kura, Hashime, Azaya Kura and Azaya villages also at the outskirts of Mafatown without violence. Approximate coordinates used for all 8 locations.",0,1529947890,NGA,POINT(13.449 12.1456)
1639788,566,NIG12577,12577,22 June 2018,2018,1,Non-violent transfer of territory,Boko Haram - Wilayat Gharb Ifriqiyyah,,2,12,Western Africa,Nigeria,Borno,Mafa,,Moduhum,12.1456,13.449,2,Vanguard (Lagos),National,"22 June. Military forces, supported by civilians JTF kill seven members of Boko Haram during a clearing operaion at Azaya Kalmari, a village in Mafa LGA, at the outskirts of Mafa town. The troops also successfully cleared Moduhum, Njimtulur, Hayaba Gana, and Hayaba Kura, Hashime, Azaya Kura and Azaya villages also at the outskirts of Mafatown without violence. Approximate coordinates used for all 8 locations.",0,1529947890,NGA,POINT(13.449 12.1456)
