,event_date,year,time_precision,event_type,inter1,interaction,latitude,longitude,geo_precision,fatalities,timestamp,timestampcon,newtimestamp
0,31 December 2015,2015,1,Riots/Protests,6,60,5.5263,7.4896,1,0,1524053911,2015-12-31,1451520000.0
1,31 December 2015,2015,1,Riots/Protests,6,60,5.1066,7.3667,1,0,1524053911,2015-12-31,1451520000.0
2,30 December 2015,2015,1,Strategic development,4,47,5.4411,6.2139999999999995,1,0,1524053911,2015-12-30,1451433600.0
4,29 December 2015,2015,1,Riots/Protests,6,60,4.7774,7.0134,1,0,1524053911,2015-12-29,1451347200.0
5,29 December 2015,2015,1,Riots/Protests,5,15,6.3945,7.9765,2,0,1524053911,2015-12-29,1451347200.0
7,28 December 2015,2015,1,Violence against civilians,2,27,11.8464,13.1603,1,20,1524053911,2015-12-28,1451260800.0
9,28 December 2015,2015,1,Violence against civilians,2,27,10.8864,13.63,1,30,1524053911,2015-12-28,1451260800.0
11,28 December 2015,2015,1,Battle-No change of territory,4,14,6.3945,7.9765,2,0,1524053911,2015-12-28,1451260800.0
13,27 December 2015,2015,1,Violence against civilians,2,27,11.8464,13.1603,1,25,1524053911,2015-12-27,1451174400.0
15,27 December 2015,2015,1,Battle-No change of territory,1,12,11.8464,13.1603,1,7,1524053911,2015-12-27,1451174400.0
17,27 December 2015,2015,1,Violence against civilians,3,37,4.7341,6.8635,1,0,1524053911,2015-12-27,1451174400.0
19,27 December 2015,2015,1,Violence against civilians,2,27,12.0833,14.3,1,19,1524053911,2015-12-27,1451174400.0
21,26 December 2015,2015,1,Riots/Protests,5,50,4.7774,7.0134,1,0,1518765568,2015-12-26,1451088000.0
22,25 December 2015,2015,1,Violence against civilians,2,27,10.8167,12.4167,1,13,1524053911,2015-12-25,1451001600.0
24,25 December 2015,2015,1,Battle-No change of territory,3,38,6.7,6.3333,1,0,1518765568,2015-12-25,1451001600.0
26,24 December 2015,2015,1,Violence against civilians,2,27,11.8464,13.1603,1,18,1524053911,2015-12-24,1450915200.0
